Surname;Given names;Nation;Flights;time_in_space;sex_or_genderLabel;birth;death;age
Volkov;Vladislav Nikolayevich;USSR;2;41341;male;23.11.1935;30.6.1971;36
Bluford;"Guion Stewart, Jr. ""Guy""";USA;4;41313;male;22.11.1942;;
Williams;"Dafydd Rhys ""Dave""";Canada;2;41265;male;16.5.1954;;
Boe;Eric Allen;USA;2;41253;male;1.10.1964;;
Baker;Ellen Louise Shulman;USA;3;41191;female;27.4.1953;;
Hurley;Douglas Gerald;USA;2;40993;male;21.10.1966;;
Bolden;"Charles Frank, Jr. ""Charlie""";USA;4;40837;male;19.8.1946;;
Clervoy;Jean-François André;France;3;40505;male;19.11.1958;;
Davis;Nancy Jan;USA;3;40445;female;1.11.1953;;
Kerwin;Joseph Peter;USA;1;40370;male;19.2.1932;;
Readdy;"William Francis ""Bill""";USA;3;40363;male;24.1.1952;;
Poindexter;"Alan Goodwin ""Dex""";USA;2;40148;male;5.11.1961;1.7.2012;51
Clifford;"Michael Richard Uram ""Rich""";USA;3;39984;male;13.10.1952;;
Olivas;"John Daniel ""Danny""";USA;2;39904;male;25.5.1965;;
Ashby;"Jeffrey Shears ""Bones""";USA;3;39857;male;1.6.1954;;
Stefanyshyn-Piper;Heidemarie Martha;USA;2;39815;female;7.2.1963;;
Lockhart;"Paul Scott ""Paco""";USA;2;39802;male;28.4.1956;;
Guidoni;Umberto;Italy;2;39790;male;18.8.1954;;
Thuot;Pierre Joseph;USA;3;39291;male;19.5.1955;;
Covey;Richard Oswalt;USA;4;38709;male;1.8.1946;;
Fuglesang;Arne Christer;Sweden;2;38497;male;18.3.1957;;
Kelly;"James McNeal ""Vegas""";USA;2;38481;male;14.5.1964;;
Archambault;"Lee Joseph ""Bru""";USA;2;38380;male;25.8.1960;;
Patrick;Nicholas James MacDonald;USA;2;38330;male;19.11.1964;;
Simonyi;"Charles ""Károly""";USA;2;38305;male;10.9.1948;;
Foreman;Michael James;USA;2;38247;male;29.3.1957;;
Grabe;Ronald John;USA;4;37658;male;13.6.1945;;
Husband;Rick Douglas;USA;2;37053;male;12.7.1957;1.2.2003;46
Haigneré;Claudie;France;2;36862;female;13.5.1957;;
Durrance;Samuel Thornton;USA;2;36853;male;17.9.1943;;
Parise;Ronald Anthony;USA;2;36853;male;24.5.1951;9.5.2008;57
Drew;Benjamin Alvin, Jr.;USA;2;36779;male;5.11.1962;;
Ham;Kenneth Todd;USA;2;36761;male;12.12.1964;;
Payette;Julie;Canada;2;36718;female;20.10.1963;;
McMonagle;Donald Ray;USA;3;36334;male;14.5.1952;;
Anderson;Michael Philip;USA;2;35647;male;25.12.1959;1.2.2003;44
Good;"Michael Timothy ""Bueno""";USA;2;35525;male;13.10.1962;;
Scott;Winston Elliott;USA;2;35434;male;6.8.1950;;
Antonelli;"Dominic Anthony ""Tony""";USA;2;35397;male;23.8.1967;;
Gemar;"Charles Donald ""Sam""";USA;3;34898;male;4.8.1955;;
Massimino;Michael James;USA;2;34307;male;19.8.1962;;
Dobrovolsky;Georgi Timofeyevich;USSR;1;34221;male;1.6.1928;30.6.1971;43
Patsayev;Viktor Ivanovich;USSR;1;34221;male;19.6.1933;30.6.1971;38
Mukai;Chiaki;Japan;2;34059;female;6.5.1952;;
Cernan;"Eugene Andrew ""Gene""";USA;3;33975;male;14.3.1934;16.1.2017;83
Frick;Stephen Nathaniel;USA;2;33963;male;30.9.1964;;
Crippen;"Robert Laurel ""Crip""";USA;4;33947;male;11.9.1937;;
Melvin;"Leland Devon ""Lee""";USA;2;33937;male;15.2.1964;;
